distance,rounds,loss_probability,decoder,repetition,microseconds_per_shot,input_loss_patterns,graph_builds,cache_hits,policy
3,3,0.0001,envelope-matching,0,1.6708166,32,32,4968,FIFO/work-budget streaming
3,3,0.0001,envelope-matching,1,1.7407084,32,32,4968,FIFO/work-budget streaming
3,3,0.0001,envelope-matching,2,1.6399747999999998,32,32,4968,FIFO/work-budget streaming
3,3,0.0001,pymatching-fixed,0,2.033524984090662,32,1,,offline batch groups
3,3,0.0001,pymatching-fixed,1,2.0142249735810998,32,1,,offline batch groups
3,3,0.0001,pymatching-fixed,2,1.9067580333066705,32,1,,offline batch groups
3,3,0.0001,pymatching-envelope,0,2.3201247613225457,32,32,,offline batch groups
3,3,0.0001,pymatching-envelope,1,2.3314331750980375,32,32,,offline batch groups
3,3,0.0001,pymatching-envelope,2,2.345816831667948,32,32,,offline batch groups
3,3,0.0001,envelope-matching-offline,0,1.5532834,32,32,,offline batch groups
3,3,0.0001,envelope-matching-offline,1,1.5349584,32,32,,offline batch groups
3,3,0.0001,envelope-matching-offline,2,1.5432417999999999,32,32,,offline batch groups
3,3,0.0003,envelope-matching,0,1.6719583999999998,40,40,4960,FIFO/work-budget streaming
3,3,0.0003,envelope-matching,1,1.7996666,40,40,4960,FIFO/work-budget streaming
3,3,0.0003,envelope-matching,2,1.7279584000000001,40,40,4960,FIFO/work-budget streaming
3,3,0.0003,pymatching-fixed,0,1.9789168240951776,40,1,,offline batch groups
3,3,0.0003,pymatching-fixed,1,1.9193834153303149,40,1,,offline batch groups
3,3,0.0003,pymatching-fixed,2,1.96669160065949,40,1,,offline batch groups
3,3,0.0003,pymatching-envelope,0,2.4195917470076322,40,40,,offline batch groups
3,3,0.0003,pymatching-envelope,1,2.4656999856889246,40,40,,offline batch groups
3,3,0.0003,pymatching-envelope,2,2.324441804629564,40,40,,offline batch groups
3,3,0.0003,envelope-matching-offline,0,1.7262165999999999,40,40,,offline batch groups
3,3,0.0003,envelope-matching-offline,1,1.5710168,40,40,,offline batch groups
3,3,0.0003,envelope-matching-offline,2,1.5709084000000002,40,40,,offline batch groups
3,3,0.001,envelope-matching,0,2.0528413999999997,84,84,4916,FIFO/work-budget streaming
3,3,0.001,envelope-matching,1,2.0474499999999995,84,84,4916,FIFO/work-budget streaming
3,3,0.001,envelope-matching,2,2.0097498,84,84,4916,FIFO/work-budget streaming
3,3,0.001,pymatching-fixed,0,1.995208428364992,84,1,,offline batch groups
3,3,0.001,pymatching-fixed,1,2.0021250157960893,84,1,,offline batch groups
3,3,0.001,pymatching-fixed,2,2.0177751386003973,84,1,,offline batch groups
3,3,0.001,pymatching-envelope,0,2.9087916000634433,84,84,,offline batch groups
3,3,0.001,pymatching-envelope,1,3.0486831681936977,84,84,,offline batch groups
3,3,0.001,pymatching-envelope,2,2.907708595051956,84,84,,offline batch groups
3,3,0.001,envelope-matching-offline,0,1.9121000000000004,84,84,,offline batch groups
3,3,0.001,envelope-matching-offline,1,1.8552832,84,84,,offline batch groups
3,3,0.001,envelope-matching-offline,2,1.8585084000000003,84,84,,offline batch groups
3,3,0.003,envelope-matching,0,3.960575,349,349,4651,FIFO/work-budget streaming
3,3,0.003,envelope-matching,1,3.9393249999999997,349,349,4651,FIFO/work-budget streaming
3,3,0.003,envelope-matching,2,10.0349332,349,349,4651,FIFO/work-budget streaming
3,3,0.003,pymatching-fixed,0,2.217341979137921,349,1,,offline batch groups
3,3,0.003,pymatching-fixed,1,2.071691613750792,349,1,,offline batch groups
3,3,0.003,pymatching-fixed,2,4.37004159001708,349,1,,offline batch groups
3,3,0.003,pymatching-envelope,0,5.824950265302848,349,349,,offline batch groups
3,3,0.003,pymatching-envelope,1,5.862875212580824,349,349,,offline batch groups
3,3,0.003,pymatching-envelope,2,5.929808357045054,349,349,,offline batch groups
3,3,0.003,envelope-matching-offline,0,3.080875,349,349,,offline batch groups
3,3,0.003,envelope-matching-offline,1,2.8750750000000003,349,349,,offline batch groups
3,3,0.003,envelope-matching-offline,2,10.843733199999999,349,349,,offline batch groups
3,3,0.01,envelope-matching,0,13.991249999999999,1493,1627,3373,FIFO/work-budget streaming
3,3,0.01,envelope-matching,1,13.0109918,1493,1627,3373,FIFO/work-budget streaming
3,3,0.01,envelope-matching,2,13.0286168,1493,1627,3373,FIFO/work-budget streaming
3,3,0.01,pymatching-fixed,0,2.6085251469880344,1493,1,,offline batch groups
3,3,0.01,pymatching-fixed,1,2.7252834083595516,1493,1,,offline batch groups
3,3,0.01,pymatching-fixed,2,2.521932999945092,1493,1,,offline batch groups
